problem,solution,topic
"AI Agent lúc chạy lúc không, hoặc gọi LLM bị vượt quá token/limit.","Đầu vào nhiều thời điểm khiến node AI Agent chạy nhiều lần, mỗi lần lại gọi nhiều lần LLM. Setting Max Iterations chỉ giới hạn cho 1 lần chạy. Với dữ liệu lớn (hơn 500 bản ghi) nên ưu tiên xử lý bằng node Code hoặc node điều kiện thay vì đưa hết vào prompt AI.",node_feature
"Workflow không tự chạy khi có sự kiện mới.","Nếu không publish flow thì nó sẽ không tự chạy khi có sự kiện mới. Publish mới là thực sự triển khai, còn execute tay chỉ là lúc test. Khi trigger bằng tay output trả về thời điểm nhấn, khi publish luồng sẽ tự động trigger theo đúng rule đã tạo.",workflow_run
"Bot netchat chỉ trả lời đúng người tạo, người khác hỏi qua bot không được.","Do cấu hình node netchat đang nhận đúng channel id của một máy. Con bot ở mỗi máy thấy channel id khác nhau. Chuyển node netchat sang nhận tất cả các channel (listen on all channels) thay vì chỉ 1 channel id cụ thể.",node_feature
"Cần đọc nội dung file word trong workflow.","Hệ thống hiện chỉ đáp ứng đọc nội dung file word bằng node docExtraction, chưa hỗ trợ đọc margin và lề.",node_feature
"Model Qwen 3.5 / Qwen-122B không xử lý được ảnh.","Các model Qwen-122B và Qwen-35B không còn hỗ trợ xử lý ảnh, thay bằng Qwen35B-Image. Trong các luồng có xử lý ảnh cần đổi sang model Qwen35B-Image để workflow hoạt động bình thường.",llm_model
"Node netchat chưa có tính năng upload file / gửi ảnh trực tiếp.","Tính năng upload file của node Netchat đang được phát triển. Hiện tại action node Netchat Send Direct Message và Post Message đã cho phép gửi ảnh (cấu hình trường Files). Để gửi file: dùng node HTTP request upload file lên trước, lấy file_id rồi truyền vào node tạo post.","node_feature"
"Muốn gửi nhiều ảnh trong 1 tin nhắn netchat nhưng đang bị tách mỗi ảnh 1 tin, vượt giới hạn số tin của bot.","Upload các file lên trước để lấy các file_id, sau đó truyền mảng file_ids vào trường file_ids lúc tạo post (dùng node HTTP request tới /api/v4/files rồi /api/v4/posts). Như vậy nhiều ảnh sẽ nằm trong 1 tin nhắn.","node_feature"
"netAgent chưa hỗ trợ embed file cho RAG / chưa có node RAG.","Hiện netAgent chưa hỗ trợ embed file, dự kiến sẽ có trong thời gian tới. Có thể setup node RAG-Qdrant lưu persistent trên máy chủ riêng; liên hệ đầu mối để xin hướng dẫn setup máy chủ + workflow đính kèm.","node_feature"
"Muốn tạo file word/report trước khi gửi tới netchat hoặc email.","Dùng node netAgent Report Engine để tạo báo cáo/biểu đồ (trong node có doc hướng dẫn). Với file word thì hiện chỉ đọc được nội dung bằng node docExtraction, chưa hỗ trợ tạo file word có định dạng margin/lề.","node_feature"
"Bị chặn dùng thư viện Python/JavaScript ngoài (canvas, pandas, PIL...) trong node Code.","Node Code chỉ có sẵn các thư viện mặc định, các lib ngoài (canvas để vẽ chart, thư viện tải file...) bị chặn. Cần gửi danh sách thư viện cần dùng để team cài đặt; việc cài thư viện được đánh giá theo lô, không cài đơn lẻ.","node_feature"
"Gọi tới model không nhớ được ngữ cảnh của các câu hỏi trước.","Cần thêm bộ nhớ (memory) cho node AI Agent để giữ ngữ cảnh giữa các lần hỏi trong cùng phiên.","llm_model"
"Model trả về sai thời gian, hỏi tuần trước thì trả ra năm 2025 hoặc lệch mốc thời gian.","Đây là thời gian của model LLM, model không tự biết thời gian hiện tại. Cần thêm thông tin thời gian hiện tại vào prompt để model biết mốc đúng; với NetBI cần cung cấp công cụ convert tuần => date để truyền vào.","llm_model"
"Không dùng được các model LLM ngoài internet (ChatGPT, Gemini) trên netAgent.","Hệ thống đặt trong nội bộ nên không có kết nối tới các model LLM ngoài internet, chỉ dùng qua netMind gateway. LLM local là các model Qwen/GPT-OSS của công ty đã triển khai qua gateway, không dựng LLM riêng.","llm_model"
"Datatable báo vượt dung lượng sau khi đã xóa bảng, không add được data table from list.","Sau khi xóa bảng, phần hiển thị dung lượng có thể chưa được hệ thống tính toán lại ngay. Kiểm tra lại dữ liệu, không nên lưu trữ dữ liệu lớn ở datatable.","datatable"
"Query dữ liệu chọn lọc (vài trường, theo khoảng ngày) từ datatable.","Dùng node Datatable -> Get row -> Code để xử lý và lọc các trường/khoảng ngày cần thiết.","datatable"
"Cần lấy dữ liệu từ Datalake (WO, gnoc, KPI) nhưng bị chặn hoặc thiếu quyền.","Datalake cho phép kết nối trực tiếp để query. Xin cấp quyền truy cập tới các bảng cần dùng (ví dụ hive.gnoc.wo), hoặc yêu cầu đội liên quan đẩy dữ liệu lên datalake. Dữ liệu datalake đồng bộ ~1 lần/ngày nên có thể lệch nhẹ so với gnoc realtime.","connection_access"
"Cần mở kết nối từ netAgent tới hệ thống nội bộ khác (Gitlab, DCIM, SOAR, VO, NPMS).","Gửi IP nguồn và nhu cầu để team đánh giá và mở kết nối. Một số hệ thống (VO, SOAR) đang trong quá trình phát triển node hỗ trợ. Không mở kết nối trực tiếp tới DB, phải qua port ứng dụng + xin API.","connection_access"
"Node Netmind Agent báo lỗi không tìm thấy LLM qua gateway dù trước đó dùng bình thường.","Credential của node netMind agent hết hạn token. Đăng nhập web netMind, bấm nút lấy token mới theo hướng dẫn rồi cập nhật lại credential của node.","credential"
"Credential netChat của node bị lỗi/hết hạn token.","Token netChat của node hết hạn. Lấy lại token từ netChat (bật F12 trên netChat để lấy token) và dán vào node. Có thể liên hệ đội netChat để xin tạo bot riêng và cấp token mới.","credential"
"Workflow chạy 2 lần / nhiều lần ngoài ý muốn, hoặc cần chạy tay mới hoạt động.","Kiểm tra cấu hình trigger và force interval của node (ví dụ node Vmail trigger đặt force 60 phút). Nếu flow chỉ chạy khi execute tay thì thường do chưa publish; publish mới khiến flow tự trigger theo rule.","workflow_run"
"Workflow vẫn publish (màu xanh) nhưng không trigger tin nhắn mới ở netchat / không nhận mail mới.","Kiểm tra node trigger: với vmail, mail đã bị đánh dấu đã đọc sẽ không được coi là mail mới. Với netchat trigger cần nhập đúng channel id hoặc bật listen on all channels. Nếu do lỗi hạ tầng, team đang theo dõi và sẽ thông báo.","workflow_publish"
"Node báo lỗi Request to S3 failed khi tải/lưu file.","S3 aipstack nằm ngoài public nên hệ thống netflow ở mạng nội bộ không kết nối được. Dùng node netchat Get File By File ID để tải file đính kèm về thay cho gọi trực tiếp S3. netflow sẽ có S3 nội bộ riêng sau.","node_feature"
"Cần giới hạn tài nguyên theo user để tránh 1 user cấu hình sai gây spam/cao tải toàn hệ thống.","Một workflow cấu hình sai (ví dụ tự cấu hình imap riêng thay vì dùng node vmail) có thể gây spam trigger, chiếm hết slot chạy của workflow khác. Nên tách flow, giảm số email xử lý mỗi lần, và hệ thống cân nhắc chặn theo ngưỡng khi user request quá nhiều.","workflow_run"
"Toàn hệ thống netAgent bị treo/sự cố, các workflow không dùng được.","Sự cố hạ tầng (ví dụ K8s hoặc DGX gặp vấn đề) khiến các dịch vụ AI tạm thời không dùng được. Team đang phối hợp kiểm tra và xử lý, sẽ có thông báo [DONE] khi khắc phục xong. Trong thời gian đó chủ động sắp xếp công việc.","infra_incident"
"Hệ thống báo đang bảo trì / tạm dừng, không rõ khi nào hoạt động lại.","Hệ thống thực hiện bảo trì theo kế hoạch (thường vào giờ thấp điểm). Trong thời gian bảo trì các workflow tạm dừng; hệ thống sẽ hoạt động trở lại ngay sau khi hoàn tất và có thông báo. Nếu cần gấp, liên hệ đầu mối để biết lịch dự kiến.","infra_incident"
"Chỗ 'Get many' trên node vmail đang trả sai thời gian ở phần output (dữ liệu bị lệch giờ).","Mặc định Vmail trả về dữ liệu ở timezone UTC, cần cộng thêm 7 tiếng mới ra đúng giờ Việt Nam. Kiểm tra lại phần xử lý thời gian output của node để cộng offset +7h nếu cần hiển thị theo giờ VN.","node_feature"
